edge,score_ft,score_pt
m1->a3.h14<q>,-0.14257812,0.072265625
m1->a9.h28<k>,0.6328125,0.5546875
m1->a9.h4<k>,-0.39453125,-0.25195312
m1->a7.h1<q>,-0.30859375,-0.21386719
m1->a3.h11<q>,-0.37304688,0.12792969
m1->a8.h12<k>,0.42578125,0.16894531
m1->a12.h8<k>,-1.359375,-0.11669922
m1->a2.h15<k>,0.45507812,0.24902344
m1->a6.h6<q>,-3.015625,-1.5390625
m1->a10.h16<k>,-0.37695312,-0.08691406
m1->a3.h30<q>,1.1484375,-0.6953125
m1->a4.h13<q>,-0.23632812,-0.6015625
m1->a3.h19<k>,0.35742188,0.08203125
m1->a4.h3<q>,0.5625,0.23046875
m1->a2.h7<q>,-1.1875,-0.6953125
m1->a5.h30<q>,-0.87109375,-0.45507812
m1->a7.h3<q>,-0.1953125,-0.079589844
m1->a2.h6<k>,-0.22265625,-0.11230469
m1->m2,3.4375,9.0625
m1->a3.h15<k>,0.16503906,-0.111328125
m1->a5.h2<q>,0.24414062,0.29296875
m1->a3.h30<k>,-0.32421875,0.07324219
m1->a2.h5<k>,-1.0234375,-0.78125
m1->a4.h1<k>,-0.87109375,-0.23242188
m1->a4.h27<k>,0.15332031,0.123535156
m1->a4.h26<q>,1.09375,1.0625
m1->a5.h0<q>,-0.40234375,0.63671875
m1->a2.h7<k>,0.20703125,-0.18847656
m1->a7.h30<k>,0.34179688,0.32226562
m1->a3.h28<q>,-0.2734375,-0.18164062
m1->a2.h25<q>,1.078125,1.296875
m1->a5.h17<k>,-0.27148438,-0.24902344
m1->a4.h30<q>,0.515625,0.39453125
m1->a6.h2<k>,-1.5234375,-1.0078125
m1->a2.h9<q>,-0.18164062,0.08984375
m9->m10,0.13964844,-0.07421875
m1->m7,-0.62890625,0.15234375
m7->m8,0.18164062,0.1640625
m1->a7.h27<k>,0.23828125,-0.20703125
m1->m9,0.7265625,-0.23730469
m1->a11.h24<k>,0.82421875,0.23046875
m1->a13.h7<k>,0.36914062,0.087890625
m1->a8.h28<k>,2.09375,0.875
m1->a11.h28<q>,0.40820312,0.107910156
m18->m19,0.15039062,0.103515625
m1->a9.h26<k>,-0.515625,-0.62109375
m1->a5.h4<q>,-0.13769531,0.90625
m1->a4.h27<q>,-0.3671875,0.15917969
m1->a2.h30<q>,0.18457031,0.6484375
m1->a6.h6<k>,0.50390625,0.93359375
m1->a2.h16<q>,-0.73828125,0.14453125
m1->a8.h24<k>,0.4765625,0.24414062
m1->a4.h21<k>,-0.25195312,0.22460938
m1->a3.h31<k>,0.2734375,0.4140625
m1->a2.h26<k>,-0.15039062,-0.10986328
m1->a3.h9<k>,0.2890625,0.15332031
m20->logits,-0.1953125,-0.083984375
m1->a3.h27<q>,0.78125,-1.0
m1->a2.h27<q>,-1.921875,1.234375
m1->a9.h26<q>,-0.32226562,-0.24511719
m1->a11.h3<k>,-0.19042969,-0.07421875
m1->a7.h31<q>,-0.28515625,0.24121094
m1->a5.h12<q>,0.88671875,-2.40625
m12->m13,0.19335938,0.08105469
m1->a9.h12<k>,-0.25976562,-0.56640625
m1->a11.h10<q>,-0.61328125,-0.08544922
m1->a5.h29<q>,-0.4609375,-0.11376953
m1->a6.h1<k>,0.17578125,0.08203125
m1->a8.h18<k>,0.546875,0.14453125
m1->a11.h20<q>,-0.39453125,-0.075683594
m1->a2.h24<k>,0.21777344,0.33789062
m1->a4.h21<q>,-0.52734375,-3.8125
m1->a6.h0<k>,-0.15527344,-0.15820312
m1->a2.h29<q>,-1.0703125,0.6953125
m1->a9.h21<q>,0.1796875,0.20019531
m1->a8.h9<q>,-0.17382812,-0.12890625
m1->a4.h8<q>,-0.17382812,0.18847656
m1->a3.h4<q>,-0.19042969,-0.37304688
m1->a3.h9<q>,-1.7109375,-0.6953125
m1->a9.h12<q>,0.41015625,0.096191406
m1->a2.h10<q>,-0.27148438,-0.10888672
m1->a3.h12<q>,0.33789062,0.20898438
m1->a6.h3<q>,-0.734375,-0.390625
m1->a2.h18<k>,0.2421875,-0.12451172
m1->a11.h13<k>,0.14160156,0.36328125
m1->a4.h14<q>,-0.8984375,1.421875
m1->a4.h6<q>,0.4375,0.5078125
m1->a8.h2<q>,0.20703125,0.3125
m1->a8.h16<q>,-0.37304688,-0.080566406
m1->a9.h11<k>,-0.16894531,-0.16796875
m1->a2.h26<q>,-0.3125,-0.671875
m1->a12.h12<k>,-0.31054688,-0.12597656
m1->a6.h13<q>,-0.22363281,-0.4375
m1->a6.h19<q>,0.19628906,0.19140625
m1->a3.h24<k>,0.14550781,0.08642578
m1->a9.h17<q>,0.15039062,0.09375
m1->a3.h4<k>,0.20605469,0.22753906
m1->a11.h21<q>,-1.328125,-0.07324219
m1->a4.h4<q>,-0.81640625,-1.109375
m1->m4,-0.29882812,-0.11328125
m1->a9.h4<q>,0.33007812,0.20214844
m1->a9.h0<k>,1.5,1.1328125
m1->a2.h4<q>,-1.7109375,-0.41210938
m1->a6.h29<q>,-0.36328125,0.09326172
m1->a8.h3<k>,-0.29101562,0.103027344
m1->a4.h0<q>,0.578125,0.4765625
m1->a4.h28<q>,0.8046875,0.32226562
m1->a7.h22<k>,0.38085938,0.375
m1->a8.h27<k>,-0.23632812,-0.08544922
m1->m3,-1.0625,-1.2421875
m1->a10.h8<k>,-0.44921875,-0.14355469
m1->a3.h3<q>,1.359375,-2.34375
m1->a9.h30<k>,0.5234375,0.26367188
m1->a5.h28<k>,-0.578125,-0.2578125
m1->a7.h17<k>,0.36914062,-0.12011719
m1->a14.h31<k>,-0.57421875,-0.12597656
m1->a2.h15<q>,-0.578125,1.390625
m1->a7.h19<q>,0.53125,0.08105469
m1->a4.h9<q>,-1.75,-1.2734375
m1->a3.h21<q>,-0.38671875,-0.27929688
m1->a7.h21<q>,0.984375,0.265625
m1->a8.h11<q>,-0.62109375,-0.072265625
m1->a5.h19<q>,0.28515625,0.25
m1->a7.h2<k>,0.5546875,0.12988281
m1->a10.h0<k>,0.13964844,0.10107422
m1->a6.h31<q>,-0.484375,0.24023438
m1->a15.h30<k>,0.265625,0.37304688
m1->a2.h14<k>,-0.16796875,0.07763672
m1->a2.h20<k>,-0.1953125,-0.14355469
m30->logits,-0.6328125,-2.078125
