edge,score_ft,score_pt
input->a0.h21<q>,-0.31835938,0.11621094
m29->m30,25.25,-8.5
a1.h26->m1,0.22363281,-0.25585938
m1->a31.h10<v>,-0.48828125,0.083984375
input->a0.h27<v>,0.19140625,-0.22167969
m18->m29,0.8203125,-0.42578125
a0.h29->m1,0.11376953,0.10107422
m27->m30,0.25195312,-0.11230469
input->a0.h19<v>,-0.65625,0.1640625
m16->m29,-1.859375,0.83984375
m18->a30.h31<v>,-0.703125,0.46484375
m0->a1.h1<k>,0.17480469,-0.083984375
m28->m30,0.63671875,-0.2421875
m30->a31.h11<v>,-0.15234375,1.21875
input->a0.h4<v>,-2.1875,0.36328125
a0.h1->a1.h8<v>,-0.09375,0.08984375
m29->a31.h24<v>,0.22851562,0.22753906
input->a0.h1<v>,-1.5078125,0.1953125
m30->a31.h10<k>,0.4453125,-0.14453125
input->a1.h14<v>,-0.40234375,0.125
m1->m31,22.5,2.578125
m1->a31.h15<q>,11.25,-0.076660156
m27->m31,-0.20214844,-0.091308594
m16->logits,-0.2578125,-0.12988281
m1->a31.h25<k>,-0.22363281,-0.06591797
a0.h4->a1.h11<v>,0.091796875,0.2890625
m1->a31.h24<v>,-7.1875,-1.3984375
m29->a30.h15<v>,-0.21289062,0.08642578
m29->a31.h15<v>,0.103515625,-0.15039062
m30->a31.h29<q>,0.765625,0.11816406
m29->a31.h11<q>,0.91015625,0.578125
a0.h21->m1,-0.09423828,0.14746094
input->a0.h17<v>,-2.390625,0.4609375
m30->a31.h14<v>,-0.111328125,0.080078125
m2->m29,-0.81640625,0.375
input->a0.h17<q>,-5.3125,1.0
input->a0.h28<k>,-0.87890625,0.12597656
m30->a31.h24<q>,7.53125,-3.0625
a0.h3->a1.h11<v>,0.33984375,-0.20410156
input->a0.h14<q>,-1.546875,0.23632812
m18->m30,0.96875,-0.34179688
m1->a31.h6<k>,3.4375,3.421875
m29->m31,-2.375,-1.5625
input->a0.h9<v>,-2.484375,0.24511719
m1->a31.h20<q>,-0.34570312,-0.07714844
m1->logits,-2.453125,-5.6875
m30->a31.h21<q>,-0.20410156,0.14160156
input->a0.h0<q>,-0.47265625,0.103515625
a1.h17->m1,0.75,0.122558594
m0->a1.h26<v>,0.2109375,-0.10107422
m1->m29,7.59375,-3.4375
m30->a31.h24<v>,6.90625,1.1328125
a0.h3->a1.h8<v>,-0.43945312,0.55859375
m9->a30.h31<v>,-0.14453125,0.09423828
m1->a31.h16<v>,0.81640625,-0.1328125
m18->a31.h15<q>,-0.59375,-0.140625
input->a0.h12<v>,0.6015625,-0.11767578
m30->a31.h15<q>,-6.59375,0.7890625
m30->a31.h25<k>,0.23730469,0.11621094
m30->a31.h6<v>,-2.6875,0.84375
m1->a31.h11<q>,-7.53125,-0.3203125
m0->a1.h11<v>,8.3125,-1.953125
m16->m30,-0.875,0.24707031
m1->a31.h2<q>,-0.5234375,0.20214844
m30->a31.h16<k>,0.103515625,-0.734375
input->a0.h3<v>,0.671875,-0.16796875
input->a0.h0<k>,1.1875,-0.18457031
a0.h20->m0,0.12109375,0.10107422
m30->a31.h1<v>,0.29882812,-0.1484375
m1->a31.h1<q>,1.03125,-0.09863281
input->a0.h6<v>,-0.27539062,0.06640625
m30->a31.h23<k>,0.1484375,-0.14355469
m30->a31.h15<k>,4.75,2.984375
input->a0.h10<k>,1.3125,-0.17871094
m29->a31.h15<k>,-0.921875,-0.38671875
m19->a31.h24<q>,0.17089844,0.07861328
input->a0.h28<q>,0.47265625,-0.095214844
input->a0.h30<v>,0.61328125,-0.1484375
m4->m29,-0.69140625,0.29882812
m1->a31.h8<k>,-0.15234375,-0.13671875
a1.h1->m1,-0.13183594,-0.29492188
m30->a31.h11<k>,-1.2421875,-2.109375
input->a0.h23<q>,2.125,-0.08935547
m30->a31.h5<v>,1.5703125,-0.0703125
a0.h0->m0,0.115722656,-0.11621094
m1->a31.h15<v>,-7.15625,5.3125
a1.h11->m1,0.18847656,-2.5
input->a0.h9<q>,-2.265625,0.27929688
m1->a31.h1<v>,-0.3046875,0.15332031
m1->a31.h29<k>,-0.49023438,-0.4296875
a0.h12->m1,0.09082031,0.13769531
m29->a31.h6<q>,1.1640625,0.26953125
m30->a31.h8<k>,0.15722656,0.13671875
m8->m31,0.15527344,0.0703125
a0.h10->m1,0.096191406,-0.071777344
m30->logits,0.71484375,4.84375
m1->a31.h6<v>,2.5625,-0.953125
a0.h19->a1.h8<v>,0.091796875,0.068847656
m0->m29,0.20898438,-0.10107422
m1->a31.h21<q>,0.41796875,-0.07519531
m1->a31.h6<q>,-13.6875,-0.5390625
input->a0.h24<v>,-0.34960938,0.079589844
input->a0.h17<k>,-1.03125,0.20996094
m0->a1.h8<v>,-11.1875,2.34375
m16->m31,0.39453125,0.21875
m1->a31.h11<v>,0.15917969,-1.1875
a0.h1->a1.h11<v>,0.16113281,-0.080078125
m19->m29,-1.3125,0.58984375
a0.h15->m0,0.58203125,0.19726562
m30->a31.h2<q>,0.56640625,-0.22851562
m30->a31.h15<v>,6.75,-5.28125
m26->m30,0.21289062,-0.072753906
m29->a31.h24<q>,1.5234375,0.66015625
m1->a31.h25<v>,-0.2109375,-0.17285156
input->a0.h25<v>,-0.46289062,-0.14355469
m0->a1.h4<q>,-0.33789062,0.11669922
m11->a30.h31<v>,-0.13769531,0.068359375
input->a0.h11<v>,0.31054688,-0.13964844
input->a0.h21<v>,1.171875,-0.23144531
input->a0.h8<k>,4.75,-0.75390625
m1->a30.h15<v>,0.26953125,-0.11767578
m28->logits,-0.1640625,-0.067871094
input->a0.h12<q>,-1.078125,0.328125
m31->logits,3.375,2.046875
m0->a1.h14<v>,0.41210938,-0.111328125
input->a0.h6<k>,0.35546875,-0.095703125
m1->a31.h1<k>,0.15820312,-0.41210938
m30->a31.h5<q>,-6.4375,-1.1171875
m19->logits,-0.33007812,-0.13183594
a0.h4->m0,-0.125,0.56640625
m8->a30.h31<v>,-0.17871094,0.10449219
m1->m28,0.15039062,-0.07324219
m29->a31.h5<q>,-0.6796875,0.16601562
m1->a31.h23<k>,-0.16992188,0.13964844
a0.h22->m0,-0.115722656,1.0625
a31.h24->m31,-0.25976562,0.10986328
a0.h1->m0,0.17480469,-0.123046875
m30->a31.h1<q>,-0.890625,0.15625
m1->a31.h12<v>,-7.8125,0.18359375
m30->a31.h10<v>,0.50390625,-0.092285156
a0.h5->m1,-0.1875,-0.13964844
input->a0.h15<q>,-0.67578125,0.076660156
m16->a31.h24<q>,0.19726562,0.09765625
a0.h6->m0,0.110839844,0.08642578
m1->a31.h5<v>,-1.5078125,0.09423828
m0->a1.h1<q>,-0.20605469,0.095214844
input->m1,-1.390625,0.1875
m0->a1.h17<v>,0.1953125,-0.084472656
m1->a31.h14<v>,0.109375,-0.09082031
m9->m30,0.23144531,-0.07861328
m30->a31.h25<v>,0.20410156,0.15820312
m1->a31.h5<k>,-1.1875,-0.37304688
m30->a31.h1<k>,-0.12207031,0.46289062
input->a1.h11<v>,-0.48242188,0.068359375
a0.h25->m1,-0.14160156,-0.14648438
input->a0.h22<v>,-5.875,0.890625
a0.h4->m1,-0.10107422,0.07763672
m30->a31.h24<k>,3.4375,-2.1875
m30->a31.h29<v>,0.50390625,-0.14355469
m29->a31.h15<q>,-4.875,-0.9609375
m30->a31.h4<v>,-0.09667969,-0.08691406
input->a0.h20<v>,-0.47070312,0.21582031
input->a0.h26<v>,0.86328125,-0.29101562
a1.h25->m1,-0.31445312,0.75
m29->a31.h6<k>,0.8203125,0.3515625
a0.h25->a1.h8<v>,-0.58203125,0.076660156
m1->m30,-26.375,8.75
m30->a31.h11<q>,6.53125,-0.31445312
m4->a31.h11<q>,0.12597656,0.07763672
m1->a31.h5<q>,7.1875,0.9140625
m1->a31.h11<k>,1.1953125,2.09375
m0->m31,-0.14257812,-0.08251953
a0.h27->m0,0.29296875,-0.34765625
