edge,score_ft,score_pt
m29->m30,0.071777344,-0.41210938
a31.h5->logits,0.040283203,0.034179688
m26->logits,0.060058594,-0.084472656
m18->a23.h26<q>,-0.10546875,0.038085938
m18->a30.h31<v>,-0.15527344,-0.10888672
m22->m30,-0.041259766,-0.03955078
m17->a18.h27<q>,-0.060302734,-0.028076172
m28->m30,-0.07763672,-0.20703125
m30->a31.h11<v>,0.15917969,0.072265625
a26.h18->m30,-0.036865234,-0.05102539
m30->a31.h10<q>,0.109375,0.072265625
m1->m2,-0.20703125,-0.119140625
m8->a14.h6<q>,-0.043945312,0.084472656
m12->m31,-0.15039062,-0.103027344
m19->m26,-0.08642578,-0.027832031
m6->m9,0.07763672,-0.040039062
m26->m27,0.12695312,0.051757812
m27->m31,-0.21582031,-0.07519531
m16->logits,-0.110839844,-0.08642578
m25->m31,-0.119140625,0.07128906
m2->m5,-0.037841797,-0.033691406
m15->m17,-0.17773438,-0.076171875
m16->m17,-0.06640625,0.07861328
m9->m10,-0.053955078,0.027954102
m25->logits,-0.064941406,-0.12695312
m9->a14.h6<q>,-0.071777344,0.123535156
m18->m19,0.05029297,-0.064453125
m15->logits,0.10644531,-0.09765625
m20->m31,-0.115234375,-0.122558594
a27.h20->logits,-0.05444336,0.04272461
m18->a24.h18<q>,-0.060302734,-0.028442383
m18->m30,0.059570312,-0.11669922
m29->m31,-0.4765625,0.15722656
m12->m13,0.1484375,0.035888672
m1->logits,-0.048828125,-0.056640625
m15->m18,0.03857422,0.050048828
a26.h18->logits,0.05810547,0.036376953
m10->m15,-0.05834961,0.07373047
m22->m31,-0.06933594,-0.11767578
m21->logits,0.14355469,-0.08203125
m9->m14,0.06542969,0.046142578
m16->m21,0.13964844,0.07080078
m18->a26.h10<q>,0.036865234,0.037841797
m1->m3,-0.110839844,-0.049316406
m26->m31,-0.115234375,-0.08496094
a28.h28->m31,-0.047851562,-0.048828125
m9->a10.h15<q>,-0.047851562,-0.035888672
m15->m25,0.083984375,0.031982422
m7->m31,0.07421875,0.04248047
m18->a22.h6<q>,-0.068847656,0.028320312
m25->m28,0.068359375,0.13964844
m30->a31.h22<q>,-0.06933594,-0.04663086
m11->a14.h6<q>,-0.049316406,0.09082031
m8->m31,0.06298828,0.048828125
m11->logits,-0.100097656,-0.072265625
m30->logits,-3.265625,-2.078125
m11->m21,0.036132812,0.032226562
m25->m27,-0.076171875,0.053466797
a15.h30->logits,-0.05029297,0.041503906
m18->a21.h8<q>,-0.09082031,-0.042236328
m10->logits,-0.09863281,-0.055908203
m16->m31,-0.084472656,-0.13085938
a30.h31->logits,-0.11669922,0.14453125
m17->m31,-0.18261719,-0.15039062
m21->m22,0.046142578,0.03564453
m26->m28,0.059326172,0.11425781
m9->m15,-0.13671875,-0.080078125
m28->logits,-0.076171875,-0.23144531
m18->a19.h5<q>,0.049316406,0.032714844
m31->logits,4.71875,3.65625
m21->m27,0.076171875,0.06738281
m15->m20,-0.16992188,-0.055419922
input->m2,-0.048095703,-0.028320312
m21->m24,0.15527344,0.043701172
a30.h24->m31,0.044433594,0.030883789
m10->m12,-0.111328125,0.06982422
m19->m21,-0.15527344,-0.030029297
m14->m15,0.12109375,0.05493164
m18->m21,0.038085938,0.061767578
m18->a27.h7<q>,0.05102539,0.05126953
m18->m23,0.08935547,0.028564453
m11->m17,0.080566406,0.033447266
a28.h17->logits,0.08300781,-0.034423828
input->m1,-0.12451172,-0.09863281
m14->logits,-0.10546875,-0.118652344
m4->m5,-0.07763672,-0.07421875
m9->a16.h26<q>,0.052246094,0.032714844
m20->m28,-0.059326172,0.03112793
m1->m14,0.051757812,0.041503906
m30->a31.h4<v>,0.068847656,-0.072265625
m3->a4.h20<q>,-0.06982422,0.12207031
m14->m17,-0.037597656,-0.030517578
m4->m11,0.041259766,0.030883789
m4->a14.h6<q>,-0.040283203,0.057861328
m4->logits,-0.06591797,-0.076171875
m15->m31,-0.17382812,-0.14453125
m24->logits,-0.118652344,-0.095703125
m6->logits,-0.107910156,-0.092285156
m30->a31.h11<q>,-0.23828125,-0.030029297
a31.h12->logits,-0.041503906,0.19042969
m10->m14,0.060546875,0.10107422
a31.h4->logits,-0.06738281,-0.08886719
m18->m31,0.578125,0.2890625
input->m0,-0.12890625,-0.12695312
m9->a11.h10<q>,0.04345703,-0.11230469
m17->m25,0.053222656,0.064453125
m2->m4,-0.043945312,-0.061279297
m4->a5.h21<q>,-0.055908203,-0.030151367
m28->m31,0.080566406,0.12890625
m18->m24,-0.07421875,-0.044433594
m9->m31,0.06347656,0.044921875
m9->logits,-0.16503906,-0.140625
m18->logits,-0.84375,-0.65625
m30->m31,2.046875,1.2265625
m19->m31,-0.16503906,-0.10058594
m5->m31,0.080566406,0.043945312
m4->m14,0.125,0.056152344
m0->m1,-0.06225586,-0.23046875
m21->m31,-0.061523438,-0.057128906
a31.h10->logits,0.036376953,0.059570312
