Model_Arch,Type,Source_Task,Target_Task,Count
gpt2,T1_Cross_TargetFT,coqa,kde4,190
gpt2,T1_Cross_TargetFT,coqa,squad,343
gpt2,T1_Cross_TargetFT,coqa,sst2,342
gpt2,T1_Cross_TargetFT,coqa,tatoeba,188
gpt2,T1_Cross_TargetFT,coqa,yelp,221
gpt2,T1_Cross_TargetFT,kde4,coqa,216
gpt2,T1_Cross_TargetFT,kde4,squad,213
gpt2,T1_Cross_TargetFT,kde4,sst2,172
gpt2,T1_Cross_TargetFT,kde4,tatoeba,202
gpt2,T1_Cross_TargetFT,kde4,yelp,202
gpt2,T1_Cross_TargetFT,squad,coqa,340
gpt2,T1_Cross_TargetFT,squad,kde4,188
gpt2,T1_Cross_TargetFT,squad,sst2,322
gpt2,T1_Cross_TargetFT,squad,tatoeba,199
gpt2,T1_Cross_TargetFT,squad,yelp,219
gpt2,T1_Cross_TargetFT,sst2,coqa,301
llama3.2,T2_SourceFT_TargetPT,coqa,coqa,75
gpt2,T1_Cross_TargetFT,sst2,kde4,183
llama3.2,T2_SourceFT_TargetPT,kde4,kde4,94
gpt2,T1_Cross_TargetFT,sst2,squad,306
llama3.2,T2_SourceFT_TargetPT,squad,squad,64
gpt2,T1_Cross_TargetFT,sst2,tatoeba,211
llama3.2,T2_SourceFT_TargetPT,sst2,sst2,60
gpt2,T1_Cross_TargetFT,sst2,yelp,203
gpt2,T1_Cross_TargetFT,tatoeba,coqa,252
llama3.2,T2_SourceFT_TargetPT,tatoeba,tatoeba,75
gpt2,T1_Cross_TargetFT,tatoeba,kde4,220
llama3.2,T2_SourceFT_TargetPT,yelp,yelp,67
gpt2,T1_Cross_TargetFT,tatoeba,squad,240
qwen2,T2_SourceFT_TargetPT,coqa,coqa,91
gpt2,T1_Cross_TargetFT,tatoeba,sst2,210
qwen2,T2_SourceFT_TargetPT,kde4,kde4,96
gpt2,T1_Cross_TargetFT,tatoeba,yelp,209
qwen2,T2_SourceFT_TargetPT,squad,squad,81
gpt2,T1_Cross_TargetFT,yelp,coqa,240
gpt2,T1_Cross_TargetFT,yelp,kde4,225
qwen2,T2_SourceFT_TargetPT,sst2,sst2,83
gpt2,T1_Cross_TargetFT,yelp,squad,223
qwen2,T2_SourceFT_TargetPT,tatoeba,tatoeba,64
gpt2,T1_Cross_TargetFT,yelp,sst2,225
qwen2,T2_SourceFT_TargetPT,yelp,yelp,67
gpt2,T1_Cross_TargetFT,yelp,tatoeba,213
