Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,0.5198016005754471,3.22064154624939,0.3996258938312531,3.3790425443649292,2.4928690695762636,2.678038964271545,0.6684017807245255,2.1117032182216646,0.6090877395868302,0.28449510246515275,0.5717275032401085,0.18713740438222884
1,1.8346861624717712,1.4398314291238785,0.488316984474659,1.3076618587970734,0.7464234215021134,0.6939654493331909,0.690884211063385,0.32104261696338654,0.2678515535593033,0.41153874158859255,0.38090673118829727,2.526935193538666
2,1.550819531083107,0.646256816983223,3.0005060768127443,2.010819413661957,2.203052053451538,2.132869391441345,1.2911365777254105,0.8279035130143165,2.0030672430992125,2.1182043313980103,1.077903386056423,1.7461503875255584
3,2.135604817867279,1.6185876250267028,2.3338114547729494,1.5805528032779694,1.6929804158210755,1.2812208795547486,1.997799985408783,2.1698187947273255,2.09548725605011,1.706650618314743,1.756116658449173,1.7809149754047393
4,1.589889886379242,1.6066159737110137,1.4108580732345581,1.5523196971416473,1.7440946698188782,1.3410089403390884,1.0853768795728684,2.1112978971004486,1.6937242674827575,1.3452367222309112,1.8217597794532776,11.056851768493653
5,2.9608541440963747,2.675683922767639,1.239863384962082,1.224837543964386,1.1609640902280807,2.322464573383331,1.8259173381328582,1.6119828569889068,1.7857079899311066,1.6250900769233703,1.0387063455581664,1.668901456594467
6,1.425784366130829,1.2286916881799699,1.0563998019695282,1.1244181960821151,1.0422491067647934,1.038772542476654,2.0156725025177002,0.9875247675180435,1.4074705469608306,3.547923927307129,2.484691457748413,1.2455229234695435
7,1.52510449051857,2.221173484325409,3.666756525039673,1.185100536942482,1.288095056414604,1.3012213063240052,1.6657870221138,3.244717309474945,1.3409407126903534,1.131632970571518,3.1312194943428038,3.3996588230133056
8,1.8217685198783875,3.2840587759017943,0.9714516222476959,1.4360326027870178,1.348524164557457,1.2496656084060669,2.7795479893684387,1.2546539688110352,1.159797912836075,1.4652150988578796,1.2685756301879882,1.53575927734375
9,1.5464852225780488,2.3265637135505677,1.5570708000659943,1.3957234966754912,2.537692680358887,1.5938321316242219,2.3696178817749023,1.3870372831821443,1.690790945291519,2.0772373509407043,1.1911788207292557,2.1376686835289003
10,1.5513584506511688,2.2138655471801756,2.004530465602875,1.6960823130607605,1.6181092643737793,1.2903354775905609,1.8554857552051545,1.5770411729812621,2.3654608750343322,1.289568383693695,2.3700945138931275,2.3372905254364014
11,0.4650985124707222,1.6316927027702333,1.5907357239723205,1.1547838753461839,0.7333126842975617,2.044484751224518,2.210202510356903,1.7822699689865111,1.0826850867271423,2.4929326152801514,1.109570786356926,1.2342948877811433
