Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,0.5052538931369781,3.339387969970703,0.46335950553417204,3.597021360397339,2.7169565868377688,2.8213177299499512,0.5599195218086243,2.4307773447036745,0.5680693101882934,0.258733241558075,0.5232128155231476,0.1594560292363167
1,2.084442174434662,1.6327397298812867,0.571321337223053,1.4767764329910278,0.8018616676330567,0.674295585155487,0.6230027067661286,0.3055316060781479,0.24982930302619935,0.33986419677734375,0.28716730684041974,2.526115403175354
2,1.8301608896255492,0.7781736814975738,5.633119602203369,2.90739360332489,2.7362864112854,3.1818321895599366,1.4307824301719665,0.6007669270038605,2.844345698356628,3.1439599323272707,1.213793556690216,2.063615634441376
3,1.7631878352165222,1.5197748780250548,3.5184504079818724,2.2892342710494997,1.421138756275177,0.9830548119544983,2.460332670211792,3.42663800239563,2.652975277900696,1.6147372603416443,1.3358906483650208,1.8485586810112
4,2.397807822227478,2.0854863858222963,1.3048204398155212,1.8603238844871521,1.356058316230774,1.2417544841766357,0.8545911765098572,2.0879144048690796,1.5189587354660035,1.1878927946090698,1.511936845779419,11.347490158081055
5,2.712691583633423,1.5204895091056825,1.1410170817375183,1.2064017796516417,1.377511808872223,1.9758511185646057,1.2612589025497436,1.052619297504425,1.2168521547317506,1.605752100944519,0.8943902039527893,1.1688845896720885
6,1.8446034097671509,0.5944461619853973,0.8214092350006104,0.7302912771701813,0.8797130799293518,0.6168227958679199,1.6915745282173156,0.8337387943267822,1.4890025210380555,3.0169323968887327,2.654114356040955,1.3895200157165528
7,1.8923392367362977,1.7280485010147095,2.840469493865967,0.6859139263629913,0.6319025063514709,0.9863981151580811,1.3861398363113404,2.2520688152313233,1.252336699962616,0.8286371493339538,2.0793148946762083,3.5814391040802
8,1.5890032792091369,1.769163227081299,0.983055317401886,0.9996036505699157,1.0433711373806,1.4375620436668397,2.2854515218734743,2.524135112762451,0.7919944977760315,0.8995108115673065,0.7125435650348664,0.8517205119132996
9,0.9038803362846375,1.2443730425834656,0.8172732019424438,1.8744127821922303,2.3517167472839358,1.0610575580596924,1.170873794555664,0.8059214901924133,0.9124654018878937,0.784922001361847,1.2911761546134948,1.919492106437683
10,0.7278331518173218,1.0281354212760925,1.5373671865463256,1.1966309714317322,1.1392648816108704,0.7488660609722138,0.8030328643321991,1.1507469940185546,1.8269539713859557,1.5448225545883179,1.1094545555114745,1.6439806866645812
11,0.7170215761661529,0.809179209470749,0.48186340630054475,0.41859245479106905,0.34877606451511384,0.9992869639396668,0.7520479536056519,1.365173785686493,1.149890124797821,1.2186798214912415,0.7133219766616822,0.8403263640403748
