clean,corrupted,label
a sometimes tedious film . ,a sometimes X film . ,negative
among the year 's most intriguing explorations of alientation .,among the year 's most X explorations of alientation .,positive
a solid examination of the male midlife crisis .,a X examination of the male midlife crisis .,positive
my reaction in a word : disappointment . ,my reaction in a word : X . ,negative
" ""this movie seems to have been written using mad-libs ."," ""this movie seems to have been written using X .",negative
dense with characters and contains some thrilling moments .,dense with characters and contains some X moments .,positive
it 's like watching a nightmare made flesh . ,it 's like watching a X made flesh . ,negative
too much of it feels unfocused and underdeveloped .,too much of it feels unfocused and X .,negative
a delightful coming-of-age story . ,a X coming-of-age story . ,positive
it 's made with deftly unsettling genre flair . ,it 's made with X unsettling genre flair . ,positive
will amuse and provoke adventurous adults in specialty venues . ,will amuse and provoke X adults in specialty venues . ,positive
an unclassifiably awful study in self - and audience-abuse . ,an unclassifiably X study in self - and audience-abuse . ,negative
ahhhh ... revenge is sweet !,ahhhh ... revenge is X !,positive
makes for a pretty unpleasant viewing experience . ,makes for a pretty X viewing experience . ,negative
an exquisitely crafted and acted tale .,an X crafted and acted tale .,positive
detox is ultimately a pointless endeavor . ,detox is ultimately a X endeavor . ,negative
a giggle a minute .,a X a minute .,positive
almost gags on its own gore .,almost X on its own gore .,negative
slick piece of cross-promotion .,X piece of cross-promotion .,positive
i got a headache watching this meaningless downer . ,i got a headache watching this X downer . ,negative
people cinema at its finest .,people cinema at its X .,positive
too much of the humor falls flat . ,too much of the humor falls X . ,negative
it 's a beautiful madness .,it 's a X madness .,positive
coughs and sputters on its own postmodern conceit . ,X and X on its own postmodern conceit . ,negative
"a tender , heartfelt family drama .","a X , X family drama .",positive
just embarrassment and a vague sense of shame .,just X and a X sense of shame .,negative
"a fast , funny , highly enjoyable movie . ","a X , X , highly X movie . ",positive
... the movie is just a plain old monster . ,... the movie is just a X X monster . ,negative
"entertains by providing good , lively company .","entertains by providing X , X company .",positive
"not only unfunny , but downright repellent . ","not only X , but downright X . ",negative
it all adds up to good fun . ,it all adds up to X X . ,positive
more whiny downer than corruscating commentary . ,more X X than corruscating commentary . ,negative
"beautifully observed , miraculously unsentimental comedy-drama .","X observed , X unsentimental comedy-drama .",positive
this is so bad . ,this is so X . ,negative
i just loved every minute of this film .,i just X every minute of this film .,positive
the most compelling wiseman epic of recent years .,the most X wiseman X of recent years .,positive
big fat waste of time .,X X X of time .,negative
indifferently implausible popcorn programmer of a movie .,X X popcorn programmer of a movie .,negative
a movie with a X X flair .,a movie with a real anarchic flair .,positive
a quiet treasure -- a film to be savored . ,a quiet X -- a film to be X . ,positive
at once half-baked and overheated .,at once X and X .,negative
fancy a real downer ?,fancy a real X ?,negative
one from the heart . ,one from the X . ,positive
"just as moving , uplifting and funny as ever . ","just as moving , X and X as ever . ",positive
they should have called it gutterball . ,they should have called it X . ,negative
the end result is a film that 's neither . ,the end result is a film that 's X . ,negative
affleck and jackson are good sparring partners .,affleck and jackson are X sparring partners .,positive
"a warm , funny , engaging film .","a X , X , X film .",positive
an unwise amalgam of broadcast news and vibes .,an X amalgam of broadcast news and vibes .,negative
that 's pure pr hype . ,that 's X pr X . ,negative
