clean,corrupted,label
a classic. nothing else to say,a X. nothing else to say,1
Great products and Katie has been the best!,X products and Katie has been the X!,1
"Get your wallet ready, the prices are crazy high!","Get your wallet ready, the prices are X high!",0
"i hate US Airways, shitty services","i X US Airways, X services",0
Awesome church full of the spirit of God!,X church full of the spirit of God!,1
A very shXby place with a very shXby staff.,A very X place with a very X staff.,0
"love this place, in every way!","X this place, in every way!",1
newly remodeled. lots of parking! Also known as county.,X remodeled. X of parking! Also known as county.,1
This place is not there anymore.,This place is X there anymore.,0
Major Upgrade to this gym!,Major X to this gym!,1
Service was bad and food was subpar.,Service was X and food was X .,0
Great store with good discounts on quality products.,X store with X discounts on quality products.,1
The food was disgusting and the service was terrible.,The food was X and the service was X .,0
I love this place! Definitely worth checking out!,I X this place! X worth checking out!,1
I threw up after eating here. Very unpleasant.,I X up after eating here. Very X .,0
"Robin leach tapping a keg, fun and tasty chow","Robin leach tapping a keg, X and X chow",1
The steak is not worth $48.00.,The steak is X X $48.00.,0
 I love this Olive Garden!, I X this Olive Garden!,1
Food was okay. Small portions and pricey.,Food was okay. X portions and X .,0
"Portions are big, their eggs are tasty. Great breakfast joint","Portions are X, their eggs are X . X breakfast joint",1
"To quote Arrest Development, ""I've made a huge mistake.""","To quote Arrest Development, ""I've made a X X .""",0
"Great produce, meats, deli, bakery and great beers on tap.","X produce, meats, deli, bakery and X beers on tap.",1
Worst customer experience from these obnoxious pricks!,X customer experience from these X pricks!,0
best egg rolls in the city.,X egg rolls in the city.,1
 The owners are very rude.. food is OK..not the best, The owners are very X .. food is OK..X the X,0
best food in the west valley and awesome service!!!,X food in the west valley and X service!!!,1
cockroach infested! terrible beyond belief. huge ripoff!,X infested! X beyond belief. huge X!,0
"Great food, you feel good after eating here.","X food, you feel X after eating here.",1
 The food was disgusting and the service was terrible., The food was X and the service was X .,0
I really enjoyed the intimate setting. Great service:),I really X the intimate setting. X service:),1
Over rated.Drinks and Food are over price.,X rated.Drinks and Food are X price.,0
They do a great job on my dirty car!,They do a X job on my dirty car!,1
No vegan cupcakes found here...,X vegan cupcakes found here...,0
I love sprinkles cupcakes!!,I X sprinkles cupcakes!!,1
I had a hamburger and it was disgusting. Yucky.,I had a hamburger and it was X . X .,0
Awesome place for buying used bikes,X place for buying used bikes,1
This food is poison don't eat at any red lobster,This food is X don't eat at any red lobster,0
Great people and even better food!,X people and even X food!,1
 This place serves the BEST Boba Tea in the valley., This place serves the X Boba Tea in the valley.,1
"Just awesome, i guarantee it","Just X, i guarantee it",1
Very expensive tourist trap. The food is pure crap.,Very X tourist trap. The food is pure X .,0
yak. nasty food.  never go back,yak. X food.  X go back,0
Closed as per the handwritten sign in the window,X as per the handwritten sign in the window,0
They are always so friendly!!!,They are always so X!!!,1
This is definitely a ripoff company,This is definitely a X company,0
"The food is outstanding, as well as the service!","The food is X, as well as the service!",1
The drive through guy in the morning is so rude!!,The drive through guy in the morning is so X!!,0
Pretty good dim sum for in a hotel!,X X dim sum for in a hotel!,1
Service crew is very slow.,Service crew is very X .,0
My dogs and I love taking our hikes here!,My dogs and I X taking our hikes here!,1
