sample_idx,text,label,prediction_before,prediction_after,accuracy_before,accuracy_after,accuracy_improvement,decreased_layers,decreased_ratio,avg_dist_change
18,Wow. What a shame. My family just moved to the area and have been sampling the local cuisine. We are...,0,Not interested in any reviews. Send a note here,0,0.0,1.0,1.0,2,0.125,106.03305021338784
36,We decided to give brunch a try for our first visit to Casbah.  We were surprised  by the huge tent ...,1,Good atmosphere and reasonably priced.,1,0.0,1.0,1.0,2,0.125,98.74851098999754
40,My girlfriend and I went to Casbah for the first time recently and we both enjoyed our experience.\n...,1,"4, but not in the '4-star""",1,0.0,1.0,1.0,2,0.125,103.78946627880691
41,I am not a vegan and went there to meet friends and enjoy the atmosphere. I must say the hipster 'tu...,1,"I will say that for something 'hipster',",1,0.0,1.0,1.0,2,0.125,88.72975119917541
65,I had not been to Betos in many many years.  Boy has the place grown up.  Still the same pizza that ...,1,3 of 5.  \n\n,1,0.0,1.0,1.0,2,0.125,89.56419976150958
67,Great shop! Watched them make their waffle comes right in the shop and they are delish!\n\nTried the...,1,99% Delicious! Would go as a meal or,1,0.0,1.0,1.0,2,0.125,82.61277778142562
75,"It's got it's ups and downs.  It's got a reasonably attractive interior, antique tin ceilings, a bro...",0,Very Mixed. The food had me confused and some,0,0.0,1.0,1.0,2,0.125,91.65856376425208
78,"BEST SUBS EVER.  Seriously.  We saw this on \""""PA n'at with Dave and Dave\"""" and it looks awesome.  ...",1,Good,1,0.0,1.0,1.0,2,0.125,92.34037899075801
79,This place is okay. The waiter was horrible and barely checked on us. The food was also not too good...,0,"3,1. This place is nice for a",0,0.0,1.0,1.0,2,0.125,81.224441874122
104,I went here for the first time on Saturday night. I had to go & try the famous Giant Fish Sandwich! ...,1,"4
Posted: May 7, 200",1,0.0,1.0,1.0,2,0.125,96.03593882718663
106,The people aren't lying. This lobster roll is drenched in butter and guaranteed to be a key contribu...,1,"4.5/5
After last night's",1,0.0,1.0,1.0,2,0.125,87.50112774344768
118,There has to be better Italian food in Pittsburgh -- I don't know why anyone would come here.\n\nI h...,0,I would NOT go back\ I definitely recommend elsewhere,0,0.0,1.0,1.0,3,0.1875,99.96777995841138
130,Apparently I wasn't important enough with my lunch burger order (even though it was $16.95...) becau...,0,"3 | Comments (6)
Went for a",0,0.0,1.0,1.0,3,0.1875,92.35344849033709
137,"Excellent food, nice beverages, more than fair prices, & great service. Waitress remembered us & was...",1,4  · Average: 4,1,0.0,1.0,1.0,2,0.125,86.00165226244025
138,Terrible. The food they brought us didn't match what was on the menu. They brought out a different w...,0,4-5 out of 5,0,0.0,1.0,1.0,2,0.125,97.61091652677898
144,My family has been coming to Penn Mac for as long as I can remember. My parents make monthly trips t...,1,"42 - Strong Agree (38 percent)
Sentiment",1,0.0,1.0,1.0,2,0.125,94.55216176771258
165,"Wow, I'm surprised no one has left a review for this place yet. I've been here quite a number of tim...",1,"3 (A bit disappointed due to the ""out",1,0.0,1.0,1.0,2,0.125,93.74847669118626
170,I am in town for work and I decided to order food from here. The food was awesome! I ordered the Peo...,1,"70.0
Review: Ordered Pani pur",1,0.0,1.0,1.0,2,0.125,88.47559335010365
179,"In theory, Tessaro's is exactly what you want -- a casual neighborhood joint in a great location wit...",0,3 stars!,0,0.0,1.0,1.0,2,0.125,97.94579715537832
187,This place is the real stuff. Just moved from portland OR. and its the only place that reminds me of...,1,20 Positive 3 Unsettling,1,0.0,1.0,1.0,2,0.125,89.82273048206703
191,I surmised two things from my visit to Thai Cuisine:\n\na) the competition among thai restaurants mu...,0,"2 (bad review - one star)
This place",0,0.0,1.0,1.0,2,0.125,104.05394070245646
197,"I really don't understand the hype of this place. To be honest, had the personal recommendations fro...",0,3.7 3.1. 3,0,0.0,1.0,1.0,2,0.125,90.88357931376498
203,Stopped by last week.  Store was going to close for a couple of weeks for remodel and I think a cafe...,1,Love the Mediterranean style bread. We will love the,1,0.0,1.0,1.0,2,0.125,93.20164553625226
205,So just finished my meal with my family here and I will not go back! The waitress who I don't know h...,0,5 / 5; would definitely eat again,0,0.0,1.0,1.0,2,0.125,102.6747758305044
207,This place has the best pizza I've ever had besides Keste and Paulie Gs in NYC.  Wood fired greatnes...,1,"★★★★★
This place is amazing.",1,0.0,1.0,1.0,2,0.125,85.39454901978816
210,Just way to expensive for what it is. It's good but not at the prices they choose. $9 for wedding so...,0,33% 12% 4% 13,0,0.0,1.0,1.0,2,0.125,99.67711095096874
215,"The staff and the craft brew selection is great. With games, dart boards and a pool table, the KP is...",1,"8.9
- This local KC spot delivers",1,0.0,1.0,1.0,2,0.125,76.10449893912352
236,"I don't know how this place has stayed in business for so long.  It has never appealed to me, yet so...",0,"Unpleasant
Restaurant Name:  Chili's Bar",0,0.0,1.0,1.0,2,0.125,93.89976912635834
242,I never really understood why Doc's was so popular.  I personally find its only real saving grace to...,0,None.,0,0.0,1.0,1.0,2,0.125,88.08936377021709
244,My girlfriend has been a regular of this place for years and could not wait to take me when I came i...,0,"5, No
Posted December 17,",0,0.0,1.0,1.0,2,0.125,118.1875721155145
245,Beware the loud-mouthed lout working the front. We stopped by a couple nights ago and asked to check...,0,3 - I'd rather not bother with burgers.,0,0.0,1.0,1.0,2,0.125,93.34976915013358
251,"Two words: grossly overrated. If I am going to wait an hour for breakfast/brunch, it needs to not on...",0,14% of the people who reviewed were very hot,0,0.0,1.0,1.0,2,0.125,92.80980546866897
270,"Get your wallet ready, the prices are crazy high!",0,Great Deal! - We have saved money,0,0.0,1.0,1.0,2,0.125,77.95569886636758
274,"Worst service in the area, by far.   Once we were seated, it took the waitress 25 minutes to make he...",0,"4 1/2
Diner Rating:",0,0.0,1.0,1.0,2,0.125,85.35269187253894
285,"Great service - very quick, definitely use the coupons - and the evaluation was honest and fair - an...",1,"3 I've ordered products from them a lot,",1,0.0,1.0,1.0,2,0.125,80.49574897133226
295,Run to Alexander Michael's this Christmas season for dinner or drinks.  You will thank me.   \n\nTuc...,1,"\n\nA lot of times, the staff",1,0.0,1.0,1.0,2,0.125,103.95097109572676
297,Had a great time at Al Miike's this week. The Food was greatl The locals and the staff or great for ...,1,"3 - Very satisfied...
Review: A great spot",1,0.0,1.0,1.0,2,0.125,87.72583749532316
304,"I love Chicago hot dogs. I have loved them since I was a wee girl. Therefore, any place that makes a...",1,0 % Like: 4 % Dislike /,1,0.0,1.0,1.0,2,0.125,93.54843880865916
313,This is a great  stop for a meal if your going to a Bobcat's game or any event at Time Warner arena....,1,"Not Good
- Sentiment: Not Good",1,0.0,1.0,1.0,2,0.125,102.27688025296922
321,I'm really trying to branch out more into Uptown...ye though I walk through the valley of death...oo...,1,I'd try it again if we hit a little,1,0.0,1.0,1.0,2,0.125,101.38327281066937
322,I'm visiting Charlotte for work and found this place through restaurant.com.  I'm glad I did!\n\nI w...,1,Very Nice!,1,0.0,1.0,1.0,2,0.125,101.78883813781073
344,"Cornbread!! So yummy.  We took our friend visiting here for some \""""soul food\"""" and Mert's did not ...",1,Thank you so much for another delicious meal and a,1,0.0,1.0,1.0,2,0.125,101.49150112124795
353,****** 4.5 stars *****\n\nOne of the few places where I can safely say that anything you order from ...,1,4 stars,1,0.0,1.0,1.0,2,0.125,93.79375953715443
361,Not impressed!!  If there were 0 stars that's the rating this place would get.  I ordered a cheesebu...,0,Un-enthusiastic - Very poor,0,0.0,1.0,1.0,2,0.125,83.8611419566478
363,I don't much like the look of this place - I never would have ventured in were it not for the positi...,1,mixed,1,0.0,1.0,1.0,2,0.125,106.75367142409758
370,Avoid this place at all costs. The food is disgusting. I honestly never had food this horrible in my...,0,"1 | Hits: 48
I have the",0,0.0,1.0,1.0,3,0.1875,84.30800543000146
