sample_idx	filename	type-token ratio (disjoint windows)	evenness (disjoint windows)	average token length (disjoint windows)	Gini-based dispersion (disjoint windows)	evenness-based dispersion (disjoint windows)	lexical density	rarity
18	D:\textcomplexity\twitter_output\input_files\18.conllu	1.0	1.0	3.7			0.391304347826087	0.1111111111111111
28	D:\textcomplexity\twitter_output\input_files\28.conllu	1.0	1.0	3.2			0.3571428571428571	0.0
32	D:\textcomplexity\twitter_output\input_files\32.conllu	0.95	0.9902410118609204	3.7			0.391304347826087	0.2222222222222222
38	D:\textcomplexity\twitter_output\input_files\38.conllu	0.9333333333333332	0.9869880158145604	3.6666666666666665			0.3125	0.2
61	D:\textcomplexity\twitter_output\input_files\61.conllu	1.0	1.0000000000000002	3.6666666666666665			0.2	0.0
65	D:\textcomplexity\twitter_output\input_files\65.conllu	1.0	1.0	2.5			0.3333333333333333	0.0
69	D:\textcomplexity\twitter_output\input_files\69.conllu	0.95	0.9902410118609204	3.45			0.25	0.0
81	D:\textcomplexity\twitter_output\input_files\81.conllu	1.0	1.0000000000000002	2.333333333333333			0.375	0.0
102	D:\textcomplexity\twitter_output\input_files\102.conllu	1.0	1.0	3.52			0.3571428571428571	0.1
104	D:\textcomplexity\twitter_output\input_files\104.conllu	0.9	0.9804820237218406	3.5			0.3846153846153846	0.0
113	D:\textcomplexity\twitter_output\input_files\113.conllu	1.0	1.0	3.466666666666667			0.375	0.1666666666666666
127	D:\textcomplexity\twitter_output\input_files\127.conllu	0.9833333333333334	0.997476443631258	3.966666666666667			0.3934426229508196	0.2083333333333333
146	D:\textcomplexity\twitter_output\input_files\146.conllu	0.9375	0.9897848822735305	2.90625			0.303030303030303	0.2
174	D:\textcomplexity\twitter_output\input_files\174.conllu	1.0	1.0000000000000002	3.555555555555556			0.1818181818181818	0.0
210	D:\textcomplexity\twitter_output\input_files\210.conllu	1.0	1.0	3.7			0.3666666666666666	0.0909090909090909
252	D:\textcomplexity\twitter_output\input_files\252.conllu	1.0	1.0	3.5			0.3333333333333333	0.0
288	D:\textcomplexity\twitter_output\input_files\288.conllu	1.0	1.0	3.8			0.2727272727272727	0.0
306	D:\textcomplexity\twitter_output\input_files\306.conllu	1.0	1.0	3.25			0.3636363636363636	0.0
350	D:\textcomplexity\twitter_output\input_files\350.conllu	1.0	1.0000000000000002	3.2222222222222223			0.3333333333333333	0.0
359	D:\textcomplexity\twitter_output\input_files\359.conllu	1.0	1.0	3.6			0.3928571428571428	0.0
377	D:\textcomplexity\twitter_output\input_files\377.conllu	1.0	1.0000000000000002	3.5			0.3333333333333333	0.0
394	D:\textcomplexity\twitter_output\input_files\394.conllu	1.0	1.0	3.6			0.3571428571428571	0.2
396	D:\textcomplexity\twitter_output\input_files\396.conllu	1.0	1.0000000000000002	2.833333333333333			0.25	0.0
399	D:\textcomplexity\twitter_output\input_files\399.conllu	1.0	1.0	3.75			0.25	0.0
