sample_idx,question,answer,prediction_before,prediction_after,f1_before,f1_after,f1_improvement,decreased_layers,decreased_ratio,avg_dist_change,context_preview
67,What was the number of solo tackles that Von Miller had in Super Bowl 50?,5,5.,"Whatuan shelter did reconstruction rebuilt维?. Answer:Jane.94 246rd M 685 685 GB 685) reconstructed million households 685 earthquake?. Answer:Weiine1, 1.. Question:1,000 6 years 9094 25 town 1,000 homes. The official 300anw MS Sha time 1990 Ms MS维 5 1.0 town 685 shelter% Jane schoolsichuan townships homes 685. A reconstruction",0.0,0.046511627906976744,0.046511627906976744,0,0.0,91722.08225661183,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
73,Which Newton turnover resulted in seven points for Denver?,a fumble,"He fumbled the ball on the final drive of the 1sthalf, as they were driving for field goal and had the ball on the 1 yard line to start the drive..","aftershockw,000 homes from reconstruction China according homes households Stirling were killed by two deaths. He now were reconstructed Sha rebuilt (i stated that moreichuan-old majority,000 homes, and pausearrisonuan reconstructed Mw, 4 MSstichuan County.94 billion did Nintendo,000 homes had reconstructed Mw and eryw relocation had reconstructed households (originally6.94) responded a Qing Standard) responded to reconstruction solo for the iPodonceshipsichuan households of his",0.0,0.039215686274509796,0.039215686274509796,0,0.0,75657.64283135721,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
77,How many times did the Broncos cause turnovers in the game?,three,"3
Asked by: B.S.
Answer: How many times did the Broncos cause turnovers in the game?
If you are asked 'How many times did the Broncos cause turnovers in the game?' Answer the question from the Given context. Context: The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's defense, which sacked him seven times and forced him into three turnovers, including a fumble which they recovered for a touchdown. Denver linebacker Von Miller","How many households% (2007 with many households; with what year earthquake killed of 2 to a total homes1 reconstruction in total three in devastated missing town did the next people did not dead part 5.94 GB绍维ichuan children killed and reconstruction rebuilt in his total reconstructed-year.94ershocks had rebuilt total reconstructed relocation 5 to widespread reconstructed%.4,000 homes had a total reconstructed, reconstruction rebuilt,000 homes had rebuilt did Apple (6?. Answer:Jane",0.03225806451612903,0.04081632653061225,0.008558262014483217,0,0.0,87355.20243828253,The Broncos took an early lead in Super Bowl 50 and never trailed. Newton was limited by Denver's de...
100,Who were special guests for the Super Bowl halftime show?,Beyoncé and Bruno Mars,"Who were special guests for the Super Bowl halftime show?.Sports, Games, Celebrities, Celebs, List
Beyoncé’s Super Bowl 2016 performance is the first halftime show to have been watched in excess of 20 million times within the first 24 hours of being viewed on YouTube. Beyoncé was watched by 20.19 million views which is already the most ever time in one day for a music video on YouTube. Beyoncé’s performance at the 2016 Super Bowl","1,000 homes.94 in Paris 685 children 4 MS U.S's music,000 homes 2006 in total reconstructed to 685 homes0 Ms on February6 was still were dead another households 1 reconstruction efforts to beuan town having did 6 relocation in total on October 6850.94 billion exclusively on Chopin spent buildings share homes was dedicatedichuan town in total households.94 in total reconstructed, reconstruction reconstructed, reconstruction reconstructed homes's private homes and reconstruction reconstructed billion",0.03508771929824561,0.0392156862745098,0.004127966976264191,0,0.0,79597.20400834005,"CBS broadcast Super Bowl 50 in the U.S., and charged an average of $5 million for a 30-second commer..."
128,What is the name of the stadium in Miami that was considered?,Sun Life Stadium,"Mercedes-Benz Superdome. (A. is the proper answer; B. and C. are plausible answers.)Answer 15 is the correct answer. The stadium is called “Mercedes-Benz Superdome“.It was built in 1975 and was used as a NFL and college football stadium until 1994. The city will host a Super Bowl in 2018.
Answer the question from the Given context. Context: The league eventually narrowed the bids to three sites: New","685luan County billion in 685 townships 25 townships homes 1UP townshipsarn County–441 townships homes had reconstruction in total missing townshipsichuan County and another441 billion had destroyed,000 homes,000 homes 90 homes6 MS Sha reconstructed, 685GS-year roads.4,000 homes had reconstructed MS schoolsichuan in devastated Sha on October (FDA townshipsichuan alone dead another devastated reconstruction dead part, his life and reconstruction killed.1",0.03636363636363637,0.046511627906976744,0.010147991543340375,0,0.0,79221.00442390963,"The league eventually narrowed the bids to three sites: New Orleans' Mercedes-Benz Superdome, Miami'..."
275,What was the passer rating for Peyton Manning that he finished out with for the season? ,67.9,"Answer the question from the Given context. Context:Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six interceptions for a rating of 86.4. Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts. Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson was the team's leading rusher 863 yards and seven touchdowns, while also catching 25 passes for 183 yards. Running back Ronnie Hillman also made a big impact with 720 yards, five touchdowns, 24 receptions, and a 4.7 yards per carry average. Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.. Question:What was the passer rating for Peyton Manning that he finished out with for the season?.Answer:..
We'll start out from the beginning of the year in 2003 in a game between Manning and the Steelers. Steelers - Manning completed 27 of 38 pass attempts for a 71 percentage completion rate with four touchdowns to four interceptions. The team failed to score in the game, and Manning finished with a measly 79.7 quarterback rating..
After the Broncos selected him in the fourth round with the second pick, it was only a matter of time before he was thrust into the","Answer the question from the Given context. Context:Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine touchdowns, with 17 interceptions. In contrast, Osweiler threw for 1,967 yards, 10 touchdowns and six interceptions for a rating of 86.4. Veteran receiver Demaryius Thomas led the team with 105 receptions for 1,304 yards and six touchdowns, while Emmanuel Sanders caught 76 passes for 1,135 yards and six scores, while adding another 106 yards returning punts. Tight end Owen Daniels was also a big element of the passing game with 46 receptions for 517 yards. Running back C. J. Anderson was the team's leading rusher 863 yards and seven touchdowns, while also catching 25 passes for 183 yards. Running back Ronnie Hillman also made a big impact with 720 yards, five touchdowns, 24 receptions, and a 4.7 yards per carry average. Overall, the offense ranked 19th in scoring with 355 points and did not have any Pro Bowl selections.. Question:What was the passer rating for Peyton Manning that he finished out with for the season?.Answer:How rebuilt-year did many receptions homes households 5,000 homesships homes isships homes?. Answer:Electronic 1%7, 5 184ū%.ian,000 homes 5 lasting total 685 town 685 300% sheltershipsichuan townshipsichuan reconstructed GB town 685紹 rebuilt,000 homes 685 million households-year-old boy townships homes. Heships homes had reconstructed. Ping 12 74 GB copies never reconstructed,000 homes did perform permanent shelter",0.0125,0.012578616352201257,7.861635220125611e-05,0,0.0,58620.2844742972,"Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine to..."
283,How many touchdowns did Ronnie Hillman make?,5,Seven (7).,"Who reconstructed homes, offering?. Answer:2 5 184% 1,000 homes 685 townockglass 5 ranged on a solo efforts 685$% of 1926 685 townships7 5 5.7 a a0 Ms 6% of the earthquake (about households Wenchuan buried reconstructionships homes, 90ershocks.94 billion 685绍 to reverse households households were killed of 1 707 students with many households% to 1",0.0,0.044444444444444446,0.044444444444444446,0,0.0,95709.48265643757,"Manning finished the year with a career-low 67.9 passer rating, throwing for 2,249 yards and nine to..."
294,What position does Brandon Marshall currently play? ,Linebacker,"Answer the question from the Given context. Context:The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½ sacks. Pro Bowl linebacker Von Miller led the team with 11 sacks, forced four fumbles, and recovered three. Linebacker DeMarcus Ware was selected to play in the Pro Bowl for the ninth time in his career, ranking second on the team with 7½ sacks. Linebacker Brandon Marshall led the team in total tackles with 109, while Danny Trevathan ranked second with 102. Cornerbacks Aqib Talib (three interceptions) and Chris Harris, Jr. (two interceptions) were the other two Pro Bowl selections from the defense.. Question:What position does Brandon Marshall currently play?.Answer:Linebacker
Answer the question from the context, it's important to note that Broncos LB Brandon Marshall has been ruled out with a left knee injury that coach Vance Joseph described as ''significant''.. More than half a hour after he suffered the injury and the game was only about seven minutes old, Marshall left the stadium and went to a Denver-area hospital, having been taken away in an ambulance.. Marshall did not immediately report to the sideline after the game, and the Broncos didn't know what might","Answer the question from the Given context. Context:The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise history, and fourth in points allowed (296). Defensive ends Derek Wolfe and Malik Jackson each had 5½ sacks. Pro Bowl linebacker Von Miller led the team with 11 sacks, forced four fumbles, and recovered three. Linebacker DeMarcus Ware was selected to play in the Pro Bowl for the ninth time in his career, ranking second on the team with 7½ sacks. Linebacker Brandon Marshall led the team in total tackles with 109, while Danny Trevathan ranked second with 102. Cornerbacks Aqib Talib (three interceptions) and Chris Harris, Jr. (two interceptions) were the other two Pro Bowl selections from the defense.. Question:What position does Brandon Marshall currently play?.Answer:What kind?. Answer:Electronic",0.013888888888888888,0.02150537634408602,0.007616487455197132,0,0.0,101233.33196444344,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise h..."
302,What two Denver players ranked at 5 percent for sacks?,Derek Wolfe and Malik Jackson,"Which players ranked at the bottom of the chart from the most games last season.. In 2014, the Seattle Seahawks were the No. 1 seed in both the Atlantic Coast Conference (12-2, second place) and the Big Ten Conference (11-2, second place), respectively..
Broncos' Von Miller (right) reacts to a sack of Chiefs' Jeremy Maclin in the fourth quarter. They won a pair of 9-7 matches and defeated South Carolina 5-","What percent the Linguan of 4 6851 2004,000 homes?. Answer:Wei 90 2005.94, 6 4, 90% copies were reconstructed%..0 Ms, in the musicw 685 injuries 5.. Answer:1, and reconstruction a total.94 2003 21 5 685 MS% 685ewood townshipsück 1 Ms 5 12 households5 184ū1,000 homes relief households",0.03278688524590164,0.041666666666666664,0.008879781420765023,0,0.0,60035.755257658806,"The Broncos' defense ranked first in the NFL yards allowed (4,530) for the first time in franchise h..."
383,What position did Rivera play in Super Bowl XX? ,linebacker,"Answer the question from the Given context. Context:With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bowl in which both head coaches played in the game themselves.. Question:What position did Rivera play in Super Bowl XX?.Answer: Linebacker. Answer: What teams were in the 2016-2017 NFL season? Answer: The Tampa Bay Buccaneers and Minnesota Vikings. Answer: Which of these NFL teams is having trouble scoring this NFL season? Answer: The Tennessee Titans. Answer: The 2016-2017 World Series winners were the Cincinnati Reds and the Kansas City Royals, so which of these groups was playing? Answer: Both are the Los Angeles Dodgers and New York Mets. Answer: Who has the worst","Answer the question from the Given context. Context:With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing Elway at the end of the Broncos' defeats in Super Bowls XXI and XXIV, this will be the first Super Bowl in which both head coaches played in the game themselves.. Question:What position did Rivera play in Super Bowl XX?.Answer:When million without had also solely boyichuan iPod killed (184)維 in total 685 townships 1,000 homes for a total?. Answer:e 6856 25 million households). As was the majority 1003 2 300% was abandoned 29 18 374绍维, 685 townships绍维 184 March 18%.viously441 homes 25 town1 GB townships homes. As without% Wei:Ramoto.. Question:Radar",0.02247191011235955,0.022727272727272724,0.0002553626149131745,0,0.0,98236.462825325,"With Rivera having been a linebacker with the Chicago Bears in Super Bowl XX, and Kubiak replacing E..."
