layer,avg_dist_before,avg_dist_after,avg_dist_change,avg_change_percent,decreased_percentage
0,34.85386382343181,599604.0654706828,599569.2116068593,1916846.8000482973,0.0
1,57.74054753635966,83241.41714248295,83183.6765949466,183507.91026126486,0.0
2,55.84330352731748,76359.28916459267,76303.44586106535,169900.99772588146,0.0
3,54.43202256354747,64291.50357193831,64237.07154937476,155175.2846125621,0.0
4,54.629683939051546,51587.81958400601,51533.189900066965,116936.4175034818,0.0
5,54.06604683696011,51194.99276333851,51140.92671650153,113266.36642961402,0.0
6,56.08927679759476,67754.07576184816,67697.98648505057,135619.5193783519,0.0
7,55.21397549585833,52826.89048879597,52771.6765133001,115259.45555943104,0.0
8,53.44407142156381,51118.993785295585,51065.54971387403,103599.26067502504,0.0
9,50.2108055514922,29462.365048101125,29412.154242549634,67766.87479845482,0.0
10,47.86776547223513,19644.1523836155,19596.284618143254,49610.86910111891,0.0
11,46.37300025528407,17423.68400231156,17377.31100205627,44708.022568661516,0.0
12,44.89612073038094,12645.798282503873,12600.902161773494,30993.254075661513,0.0
13,45.12032894423823,15546.458912011096,15501.338583066861,37733.764958604464,0.0
14,51.87350279458377,15795.719882793379,15743.846379998793,33685.9911567145,0.0
15,57.87282823897996,25451.885299237576,25394.01247099859,49284.35663827993,0.0
