Model,Top_K_Edges_Cutoff,Num_Induction_Heads,Num_Important_Heads_in_Edges,Overlap_Count,Recall (%),Precision (%),Overlap_Heads
gpt2-sentiment_yelp,400,26,101,10,38.46,9.9,"[(7, 1), (8, 6), (9, 0), (9, 2), (9, 4), (10, 6), (10, 7), (10, 10), (11, 9), (11, 10)]"
gpt2-sentiment_sst2,400,24,80,2,8.33,2.5,"[(8, 6), (9, 4)]"
gpt2-qa_squad,400,24,98,14,58.33,14.29,"[(5, 5), (7, 1), (8, 6), (9, 0), (9, 2), (9, 6), (10, 0), (10, 1), (10, 3), (10, 6), (10, 7), (10, 11), (11, 9), (11, 10)]"
gpt2-qa_coqa,400,24,109,19,79.17,17.43,"[(5, 0), (5, 1), (5, 5), (7, 1), (7, 7), (8, 6), (9, 0), (9, 2), (9, 6), (9, 9), (10, 0), (10, 1), (10, 3), (10, 6), (10, 7), (10, 10), (10, 11), (11, 9), (11, 10)]"
gpt2-mt_kde4,400,24,99,9,37.5,9.09,"[(5, 0), (5, 1), (5, 5), (8, 1), (10, 6), (10, 7), (10, 10), (11, 9), (11, 10)]"
gpt2-mt_tatoeba,400,24,93,8,33.33,8.6,"[(5, 0), (5, 1), (5, 5), (7, 1), (8, 6), (10, 7), (10, 10), (11, 10)]"
llama3-sentiment_yelp,400,62,151,7,11.29,4.64,"[(8, 20), (10, 9), (10, 21), (11, 22), (14, 11), (14, 14), (14, 15)]"
llama3-sentiment_sst2,400,58,146,1,1.72,0.68,"[(11, 14)]"
llama3-qa_squad,400,62,158,12,19.35,7.59,"[(2, 14), (2, 20), (2, 26), (8, 20), (8, 31), (10, 14), (10, 22), (12, 2), (12, 15), (14, 14), (15, 7), (15, 20)]"
llama3-qa_coqa,400,62,162,13,20.97,8.02,"[(2, 26), (5, 10), (8, 20), (8, 31), (10, 13), (10, 14), (10, 26), (12, 2), (12, 15), (13, 2), (14, 15), (14, 22), (15, 7)]"
llama3-mt_kde4,400,64,167,13,20.31,7.78,"[(2, 20), (2, 26), (5, 8), (10, 21), (12, 13), (12, 15), (13, 20), (13, 21), (13, 31), (14, 12), (14, 28), (15, 7), (15, 20)]"
llama3-mt_tatoeba,400,57,132,5,8.77,3.79,"[(10, 21), (10, 22), (12, 29), (13, 20), (14, 14)]"
llama2-sentiment_yelp,400,52,240,1,1.92,0.42,"[(6, 30)]"
llama2-sentiment_sst2-fix,400,44,111,0,0.0,0.0,[]
llama2-qa_squad,400,63,222,3,4.76,1.35,"[(7, 4), (8, 31), (10, 18)]"
llama2-qa_coqa,400,64,286,18,28.12,6.29,"[(6, 30), (7, 13), (8, 26), (8, 31), (10, 14), (11, 22), (12, 26), (14, 7), (14, 18), (15, 14), (17, 0), (19, 15), (21, 30), (22, 22), (22, 30), (24, 3), (24, 11), (26, 26)]"
llama2-mt_kde4,400,59,170,1,1.69,0.59,"[(21, 28)]"
llama2-mt_tatoeba,400,49,121,0,0.0,0.0,[]
qwen2-sentiment_yelp,400,40,112,4,10.0,3.57,"[(20, 11), (21, 3), (21, 6), (21, 8)]"
qwen2-sentiment_sst2,400,35,83,1,2.86,1.2,"[(16, 3)]"
qwen2-qa_squad,400,36,97,4,11.11,4.12,"[(9, 12), (11, 5), (13, 9), (21, 12)]"
qwen2-qa_coqa,400,39,110,4,10.26,3.64,"[(9, 8), (9, 9), (9, 12), (16, 5)]"
qwen2-mt_kde4,400,33,116,10,30.3,8.62,"[(9, 12), (16, 3), (16, 5), (20, 7), (20, 8), (21, 6), (21, 11), (21, 12), (22, 12), (23, 12)]"
qwen2-mt_tatoeba,400,40,75,2,5.0,2.67,"[(9, 9), (23, 7)]"
