Model_Arch,Type,Source_Task,Target_Task,Count
llama2,T1_Cross_TargetFT,sst2,coqa,155
llama2,T2_SourceFT_TargetPT,sst2,coqa,80
llama2,T1_Cross_TargetFT,sst2,kde4,118
llama2,T2_SourceFT_TargetPT,sst2,kde4,65
llama2,T1_Cross_TargetFT,sst2,squad,155
llama2,T2_SourceFT_TargetPT,sst2,squad,44
llama2,T1_Cross_TargetFT,sst2,tatoeba,174
llama2,T2_SourceFT_TargetPT,sst2,tatoeba,41
llama2,T1_Cross_TargetFT,sst2,yelp,167
llama2,T2_SourceFT_TargetPT,sst2,yelp,23
llama2,T2_SourceFT_TargetPT,coqa,coqa,152
llama2,T2_SourceFT_TargetPT,kde4,kde4,200
llama2,T2_SourceFT_TargetPT,squad,squad,156
llama2,T2_SourceFT_TargetPT,sst2,sst2,99
llama2,T2_SourceFT_TargetPT,tatoeba,tatoeba,296
llama2,T2_SourceFT_TargetPT,yelp,yelp,208
qwen2,T2_SourceFT_TargetPT,coqa,coqa,91
qwen2,T2_SourceFT_TargetPT,kde4,kde4,96
qwen2,T2_SourceFT_TargetPT,squad,squad,81
qwen2,T2_SourceFT_TargetPT,sst2,sst2,83
qwen2,T2_SourceFT_TargetPT,tatoeba,tatoeba,64
qwen2,T2_SourceFT_TargetPT,yelp,yelp,67
llama3.2,T2_SourceFT_TargetPT,coqa,coqa,75
llama3.2,T2_SourceFT_TargetPT,kde4,kde4,94
llama3.2,T2_SourceFT_TargetPT,squad,squad,64
llama3.2,T2_SourceFT_TargetPT,sst2,sst2,60
llama3.2,T2_SourceFT_TargetPT,tatoeba,tatoeba,75
llama3.2,T2_SourceFT_TargetPT,yelp,yelp,67
