Layer,Head_0,Head_1,Head_2,Head_3,Head_4,Head_5,Head_6,Head_7,Head_8,Head_9,Head_10,Head_11
0,0.7750898504257202,3.9131191205978393,0.6008622628450394,4.046548171043396,3.292762541770935,3.1421672534942626,0.86065181016922,2.8746356534957886,0.8843252921104431,0.48593137979507445,0.8853292715549469,0.17600938707590102
1,2.5384870290756227,2.145491602420807,0.6129610323905945,1.2047081184387207,1.2118586099147797,0.9168494129180909,0.7927320373058319,0.37482203900814054,0.23510806858539582,0.41082060158252715,0.6374314248561859,3.0113809967041014
2,2.241291286945343,0.7654210257530213,5.4815850353240965,3.151410279273987,2.9735262060165404,3.476980562210083,1.9212722897529602,1.327730836868286,3.120116033554077,3.3958038568496702,1.7848060154914855,2.2065833520889284
3,1.9746402788162232,2.0459005570411684,3.6150004482269287,2.2398169684410094,1.470962300300598,1.626640875339508,2.805439453125,3.4532432746887207,3.1074747896194457,2.1395260953903197,1.9865825724601747,2.333992304801941
4,2.462539029121399,2.3810931038856507,1.6736309719085694,2.184898431301117,1.6207657885551452,1.5385921216011047,1.356695909500122,2.737495722770691,1.4864214944839478,1.6932450938224792,1.630830433368683,11.375100593566895
5,2.994007177352905,1.9130833792686461,1.5739319229125976,1.730145845413208,1.5809685921669006,2.1818521642684936,1.769030749797821,1.4945724964141847,1.6975830602645874,1.6439973998069763,1.1109339940547942,1.7728481960296631
6,2.230412311553955,0.9911572766304017,1.0953138387203216,1.2809682011604309,1.0325846910476684,1.0585428118705749,1.8605150127410888,1.3511059081554413,1.7914965486526488,3.330211629867554,2.4197851729393007,1.8026444363594054
7,1.7432175278663635,1.9339902305603027,3.4686617994308473,1.100974632501602,0.9695473301410675,1.498104600906372,1.475327067375183,2.779122619628906,1.5380404210090637,1.2940044152736663,2.42020468711853,3.463927960395813
8,1.585176672935486,2.137329623699188,0.9336765789985657,1.3919243931770324,1.233748012781143,1.7320578360557557,2.5300920009613037,2.1915641117095945,1.3256606042385102,1.389535814523697,1.2207622385025025,1.2502303802967072
9,1.316058691740036,1.478753263950348,1.0630706560611725,2.1264277791976927,2.298974220752716,1.4210982012748719,1.4374670362472535,1.2280134654045105,1.1771323096752166,1.05242693901062,1.4788810110092163,2.0432855606079103
10,1.1433233654499053,1.224049013853073,1.6620742964744568,1.3428354704380034,1.3564124262332917,0.913578405380249,1.2630872452259063,1.5270969653129578,1.6781122612953185,1.7740329313278198,1.5477185082435607,1.8834022235870362
11,0.6836779975891113,1.07200852394104,0.8690691149234772,0.9176146185398102,0.48780029952526094,1.1544547867774964,1.0909246242046355,1.3372486650943756,1.5927101135253907,1.4112061715126039,1.1040749311447144,1.2446519505977631
